scope,metric,value
all,samples,32
all,present_in_both,32
all,box_count_match,12
all,label_type_set_match,16
all,all_boxes_matched_iou,3
all,needs_adjudication,29
all,mean_best_iou,0.3928
all,mean_union_region_iou,0.3887
all,mean_primary_covered_by_secondary,0.621
all,mean_secondary_covered_by_primary,0.5628
DocVQA-lite,samples,16
DocVQA-lite,box_count_match,5
DocVQA-lite,label_type_set_match,3
DocVQA-lite,all_boxes_matched_iou,0
DocVQA-lite,needs_adjudication,16
DocVQA-lite,mean_best_iou,0.3297
DocVQA-lite,mean_union_region_iou,0.3368
DocVQA-lite,mean_primary_covered_by_secondary,0.5529
DocVQA-lite,mean_secondary_covered_by_primary,0.4934
TextVQA-lite,samples,16
TextVQA-lite,box_count_match,7
TextVQA-lite,label_type_set_match,13
TextVQA-lite,all_boxes_matched_iou,3
TextVQA-lite,needs_adjudication,13
TextVQA-lite,mean_best_iou,0.4559
TextVQA-lite,mean_union_region_iou,0.4406
TextVQA-lite,mean_primary_covered_by_secondary,0.6891
TextVQA-lite,mean_secondary_covered_by_primary,0.6322
original_12,samples,12
original_12,box_count_match,5
original_12,label_type_set_match,5
original_12,all_boxes_matched_iou,0
original_12,needs_adjudication,12
original_12,mean_best_iou,0.3404
original_12,mean_union_region_iou,0.3516
original_12,mean_primary_covered_by_secondary,0.6603
original_12,mean_secondary_covered_by_primary,0.5077
extension_20,samples,20
extension_20,box_count_match,7
extension_20,label_type_set_match,11
extension_20,all_boxes_matched_iou,3
extension_20,needs_adjudication,17
extension_20,mean_best_iou,0.4242
extension_20,mean_union_region_iou,0.411
extension_20,mean_primary_covered_by_secondary,0.5974
extension_20,mean_secondary_covered_by_primary,0.5959
