method,rep,warmup_discarded,timed_probes,keep_ratio,mean_vision_ms,mean_prune_overhead_ms,mean_language_ms,mean_forward_ms
full,1,5,95,1.0,9.935317248547156,0.8547921566978881,63.501121312085736,75.32586169576174
full,2,5,95,1.0,9.947350395745353,0.8535757709882761,63.59148397183928,75.43133968781484
full,3,5,95,1.0,9.708111876572826,0.8329072072611827,63.61016789206157,75.14497675246706
protected,1,5,95,0.4,10.55743402899488,6.185415583221536,38.20299594540541,55.81393046182041
protected,2,5,95,0.4,10.221917073144333,6.1255387361406495,38.17790208850056,55.37341263782429
protected,3,5,95,0.4,10.299529638876649,5.951133669403038,37.72976486085865,54.80316631299885
target,1,5,95,0.4,10.18835376384423,5.302763242568624,38.1025888944829,54.45527444520083
target,2,5,95,0.4,10.060002876592701,5.297996324339979,37.94890207017919,54.14954687860843
target,3,5,95,0.4,10.152430290748415,5.3914545581823115,38.064143265058334,54.45705050308453
scope,1,5,95,0.4,9.976151099085415,43.30992391700611,37.64202525520599,92.18552945377796
scope,2,5,95,0.4,9.593098981943177,41.770364450731954,37.33010696075661,89.87516250927001
scope,3,5,95,0.4,9.61439547153484,41.56103629104205,37.69157576791354,90.11788565150805
coin,1,5,95,0.4,9.888049503053097,83.29200451384838,37.39794335622145,131.40401263647763
coin,2,5,95,0.4,10.255967663895143,86.65785364390008,37.47656240103472,135.23782798897867
coin,3,5,95,0.4,9.856369285109011,83.87121150245596,37.670537425009044,132.23000881262124
