model,split,budget,scope,methods,n_images,n_method_image_rows,outcome,predictor,specification,estimate,ci_low,ci_high,bootstrap,draws
Qwen3-VL-8B,locked confirmation,fixed 30%,all_four,Grid;Random;Target;VisionZip,500,2000,selected minus Full yes-margin,ecr,measured_controls_method_fe,0.23229767337055973,0.19058816997873904,0.27293713648081463,image-cluster percentile,10000
Qwen3-VL-8B,locked confirmation,fixed 30%,all_four,Grid;Random;Target;VisionZip,500,2000,selected minus Full yes-margin,lpp,measured_controls_method_fe,0.22899165175526326,0.18449917914443756,0.27314315603317507,image-cluster percentile,10000
Qwen3-VL-8B,locked confirmation,fixed 30%,all_four,Grid;Random;Target;VisionZip,500,2000,selected minus Full yes-margin,geo_f1,measured_controls_method_fe,0.23996000570343873,0.19573259279618868,0.2828654157245393,image-cluster percentile,10000
Qwen3-VL-8B,locked confirmation,fixed 30%,all_four,Grid;Random;Target;VisionZip,500,2000,selected minus Full yes-margin,ecr,image_and_method_fe,0.23697212551708888,0.18607500539438163,0.28629146046749127,image-cluster percentile,10000
Qwen3-VL-8B,locked confirmation,fixed 30%,all_four,Grid;Random;Target;VisionZip,500,2000,selected minus Full yes-margin,lpp,image_and_method_fe,0.21944799173820712,0.1665529517515271,0.2705788623339697,image-cluster percentile,10000
Qwen3-VL-8B,locked confirmation,fixed 30%,all_four,Grid;Random;Target;VisionZip,500,2000,selected minus Full yes-margin,geo_f1,image_and_method_fe,0.23150503089774108,0.18074398973664135,0.2814867766279468,image-cluster percentile,10000
Qwen3-VL-8B,locked confirmation,fixed 30%,deletion_only,Grid;Random;Target,500,1500,selected minus Full yes-margin,ecr,measured_controls_method_fe,0.2791679159024505,0.22967676149144708,0.32762027913141833,image-cluster percentile,10000
Qwen3-VL-8B,locked confirmation,fixed 30%,deletion_only,Grid;Random;Target,500,1500,selected minus Full yes-margin,lpp,measured_controls_method_fe,0.25711529945363404,0.20637980299995115,0.30861545040736504,image-cluster percentile,10000
Qwen3-VL-8B,locked confirmation,fixed 30%,deletion_only,Grid;Random;Target,500,1500,selected minus Full yes-margin,geo_f1,measured_controls_method_fe,0.2684172105576737,0.2189228259384428,0.3164102114340714,image-cluster percentile,10000
Qwen3-VL-8B,locked confirmation,fixed 30%,deletion_only,Grid;Random;Target,500,1500,selected minus Full yes-margin,ecr,image_and_method_fe,0.2525542665335362,0.1879174092161047,0.31488590883084633,image-cluster percentile,10000
Qwen3-VL-8B,locked confirmation,fixed 30%,deletion_only,Grid;Random;Target,500,1500,selected minus Full yes-margin,lpp,image_and_method_fe,0.2240035039695563,0.1581727963246633,0.28911133781064013,image-cluster percentile,10000
Qwen3-VL-8B,locked confirmation,fixed 30%,deletion_only,Grid;Random;Target,500,1500,selected minus Full yes-margin,geo_f1,image_and_method_fe,0.2347933211002362,0.16879745804515867,0.2987865961029863,image-cluster percentile,10000
