run,n_probes,n_images,accuracy,hFPR,keep_ratio,PosECR,NegSRC,PosAnchorECR,NegAnchorECR
qwen_full,1000,500,0.783000,0.248000,1.000000,1.000000,1.000000,1.000000,1.000000
qwen_target30,1000,500,0.786000,0.240000,0.300000,0.619955,0.507518,0.619955,0.507518
qwen_random30,1000,500,0.739000,0.160000,0.300000,0.270083,0.299909,0.270083,0.299909
qwen_grid30,1000,500,0.723000,0.142000,0.300000,0.317523,0.317523,0.317523,0.317523
qwen_visionzip30,1000,500,0.748000,0.198000,0.300000,1.000000,1.000000,0.846065,0.846065
llava_full,1000,500,0.625000,0.316000,1.000000,1.000000,1.000000,1.000000,1.000000
llava_protected40,1000,500,0.643000,0.352000,0.400000,1.000000,1.000000,1.000000,1.000000
llava_random40,1000,500,0.669000,0.256000,0.400000,0.371915,0.389362,0.371915,0.389362
llava_target40,1000,500,0.624000,0.574000,0.400000,0.471266,0.442682,0.471266,0.442682
llava_scope40,1000,500,0.586000,0.562000,0.400000,0.614148,0.614148,0.614148,0.614148
llava_coin40,1000,500,0.579000,0.674000,0.400000,0.665950,0.680363,0.665950,0.680363
llava_visionzip40,1000,500,0.582000,0.670000,0.400000,1.000000,1.000000,0.562501,0.562501
