model,intervention,intervention_definition,predictor,correlation,controls,n,estimate,ci_low,ci_high,varying_controls,valid_bootstrap_draws,estimable
Qwen3-VL-8B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,ecr,partial_spearman,log_evidence_area;log_median_cell_area;full_margin,100,0.102280033209,-0.0823674177035,0.284662769437,3,10000,1
Qwen3-VL-8B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,local_provenance_precision,partial_spearman,log_evidence_area;log_median_cell_area;full_margin,100,0.0174101192868,-0.153838069598,0.18000813065,3,10000,1
Qwen3-VL-8B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,geo_f1,partial_spearman,log_evidence_area;log_median_cell_area;full_margin,100,0.0466460371481,-0.12542442322,0.209047088793,3,10000,1
Qwen3-VL-8B,deletion_drop,Selected-prefix minus evidence-deleted yes margin,ecr,partial_spearman,log_evidence_area;log_median_cell_area;full_margin,500,0.287858285831,0.20349226372,0.370709055802,3,10000,1
Qwen3-VL-8B,deletion_drop,Selected-prefix minus evidence-deleted yes margin,local_provenance_precision,partial_spearman,log_evidence_area;log_median_cell_area;full_margin,500,0.235228325737,0.151004913183,0.316459499072,3,10000,1
Qwen3-VL-8B,deletion_drop,Selected-prefix minus evidence-deleted yes margin,geo_f1,partial_spearman,log_evidence_area;log_median_cell_area;full_margin,500,0.253055089563,0.169451317171,0.333184348305,3,10000,1
LLaVA-1.5-7B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,ecr,partial_spearman,log_evidence_area;log_median_cell_area;full_margin,50,0.274599329584,-0.0246723554429,0.535435990624,2,10000,1
LLaVA-1.5-7B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,local_provenance_precision,partial_spearman,log_evidence_area;log_median_cell_area;full_margin,50,0.335587168129,0.0244826581345,0.600723832042,2,10000,1
LLaVA-1.5-7B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,geo_f1,partial_spearman,log_evidence_area;log_median_cell_area;full_margin,50,0.33240802136,0.023442422533,0.594405717525,2,10000,1
InternVL3.5-8B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,ecr,partial_spearman,log_evidence_area;log_median_cell_area;full_margin,50,0.159371360552,-0.119449390742,0.413815434786,3,10000,1
InternVL3.5-8B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,local_provenance_precision,partial_spearman,log_evidence_area;log_median_cell_area;full_margin,50,-0.182408598141,-0.439403939876,0.112246884377,3,10000,1
InternVL3.5-8B,occlusion_specific_drop,Evidence-box drop minus same-area random-mask drop,geo_f1,partial_spearman,log_evidence_area;log_median_cell_area;full_margin,50,-0.170737034996,-0.4191815731,0.111116591199,3,10000,1
InternVL3.5-8B,deletion_drop,Selected-prefix minus evidence-deleted yes margin,ecr,partial_spearman,log_evidence_area;log_median_cell_area;full_margin,500,0.0109484866948,-0.0750234774351,0.0956525151962,3,10000,1
InternVL3.5-8B,deletion_drop,Selected-prefix minus evidence-deleted yes margin,local_provenance_precision,partial_spearman,log_evidence_area;log_median_cell_area;full_margin,500,0.0164748387532,-0.0708489770593,0.101056058006,3,10000,1
InternVL3.5-8B,deletion_drop,Selected-prefix minus evidence-deleted yes margin,geo_f1,partial_spearman,log_evidence_area;log_median_cell_area;full_margin,500,0.0246110369249,-0.064447180562,0.112451545218,3,10000,1
