method,score_file,positive_probes,correct_positive_probes,correct_positive_accuracy,mean_ecr_given_correct_positive,mean_anchor_ecr_given_correct_positive,correct_positive_ecr_lt_0p50_count,correct_positive_ecr_lt_0p50_rate,correct_positive_ecr_lt_0p50_ci_low,correct_positive_ecr_lt_0p50_ci_high,correct_positive_ecr_eq_0_count,correct_positive_ecr_eq_0_rate,correct_positive_ecr_eq_0_ci_low,correct_positive_ecr_eq_0_ci_high
Qwen Target (30%),runs/textocr_confirmation/qwen3_8b_target_0p30/probe_scores.jsonl,500,406,0.812,0.6722074559060958,0.6722074559060958,113,0.27832512315270935,0.23696342047617824,0.32384235911004433,53,0.13054187192118227,0.10120484570505267,0.1668047869386517
Qwen Random (30%),runs/textocr_confirmation/qwen3_8b_random_0p30/probe_scores.jsonl,500,319,0.638,0.2893746500690049,0.2893746500690049,227,0.7115987460815048,0.6596006244065253,0.7585612823483903,118,0.36990595611285265,0.31876864795508997,0.4241392167807768
Qwen Grid (30%),runs/textocr_confirmation/qwen3_8b_grid_0p30/probe_scores.jsonl,500,294,0.588,0.3707934162178745,0.3707934162178745,192,0.6530612244897959,0.5969931933038398,0.7051809914330861,61,0.20748299319727892,0.16504922438308336,0.2574623336752357
LLaVA Protected (40%),runs/textocr_confirmation/llava15_7b_protected_0p40/probe_scores.jsonl,500,319,0.638,1.0,1.0,0,0.0,0.0,0.011898901816162554,0,0.0,0.0,0.011898901816162554
LLaVA Random (40%),runs/textocr_confirmation/llava15_7b_random_0p40/probe_scores.jsonl,500,297,0.594,0.3739086897753215,0.3739086897753215,189,0.6363636363636364,0.5802362577111487,0.689008547567758,92,0.30976430976430974,0.2598861199644926,0.364500756621724
LLaVA Target (40%),runs/textocr_confirmation/llava15_7b_target_0p40/probe_scores.jsonl,500,411,0.822,0.4855658716934674,0.4855658716934674,214,0.5206812652068127,0.472415934738471,0.5685635759602122,111,0.27007299270072993,0.2294235986309251,0.3149806647778318
LLaVA SCOPE (40%),runs/textocr_confirmation/llava15_7b_scope_0p40/probe_scores.jsonl,500,367,0.734,0.6366251329061943,0.6366251329061943,126,0.34332425068119893,0.2965938803196734,0.3933005549850811,62,0.16893732970027248,0.13407697481455214,0.21065648413375507
LLaVA SCOPE pure coverage (40%),runs/official_baseline_extension/scope_pure_coverage_alpha0/conf_llava15_7b_scope_alpha0_0p40/probe_scores.jsonl,500,403,0.806,0.625544294459665,0.625544294459665,143,0.3548387096774194,0.3096964060065135,0.402722283231436,63,0.15632754342431762,0.12413460057624151,0.19501050129480133
LLaVA CoIn (40%),runs/textocr_confirmation/llava15_7b_coin_0p40/probe_scores.jsonl,500,416,0.832,0.6766173248180011,0.6766173248180011,129,0.31009615384615385,0.26755628630013384,0.35611117988147867,59,0.14182692307692307,0.11157236742670307,0.1786358915740598
LLaVA VisionZip (40%),runs/textocr_confirmation/llava15_7b_visionzip_0p40/probe_scores.jsonl,500,417,0.834,1.0,0.5755018670035414,0,0.0,8.673617379884035e-19,0.009128042734807735,0,0.0,8.673617379884035e-19,0.009128042734807735
