model,task,method,budget,n,metric,full_score,pruned_score,paired_delta,ci_low,ci_high,wins,losses,ties,mean_keep
Qwen3-VL-8B,TextVQA,Target-Grid,30%,5000,TextVQA accuracy,0.8282,0.63456,-0.19364,-0.2057,-0.18159950000000005,183,1269,3548,0.3
Qwen3-VL-8B,TextVQA,Target-Grid,70%,5000,TextVQA accuracy,0.8282,0.79466,-0.03354,-0.040260000000000004,-0.027,122,308,4570,0.7000000000000001
Qwen3-VL-8B,DocVQA,Target-Grid,30%,5349,ANLS,0.9394774599721373,0.5291430659312846,-0.41033439404085276,-0.42283351994932833,-0.397640973024013,91,3101,2157,0.3
Qwen3-VL-8B,DocVQA,Target-Grid,70%,5349,ANLS,0.9394774599721373,0.8461640288252119,-0.0933134311469254,-0.10149379607460851,-0.08548359522459399,94,944,4311,0.7000000000000001
LLaVA-1.5-7B,TextVQA,Target,40%,5000,TextVQA accuracy,0.48472,0.27663999999999994,-0.20808000000000001,-0.22028050000000002,-0.19582,150,1279,3571,0.40104166666666663
LLaVA-1.5-7B,TextVQA,Target,70%,5000,TextVQA accuracy,0.48472,0.35884,-0.12588,-0.13637999999999997,-0.1155,139,832,4029,0.7013888888888888
LLaVA-1.5-7B,DocVQA,Target,40%,5349,ANLS,0.2157330920387295,0.11814672083623165,-0.09758637120249787,-0.1063122806671751,-0.08891277468812471,183,842,4324,0.4010416666666667
LLaVA-1.5-7B,DocVQA,Target,70%,5349,ANLS,0.2157330920387295,0.1619495404019187,-0.053783551636810804,-0.061638300057384604,-0.04607781322250032,221,618,4510,0.701388888888889
Qwen3-VL-8B,TextVQA,Random,70%,5000,TextVQA accuracy,0.8282,0.8102199999999999,-0.01798,-0.023459999999999998,-0.012499999999999999,98,210,4692,0.7000000000000001
Qwen3-VL-8B,TextVQA,Grid,70%,5000,TextVQA accuracy,0.8282,0.79572,-0.03248,-0.03898,-0.026139999999999997,110,289,4601,0.7000000000000001
Qwen3-VL-8B,DocVQA,Random,70%,5349,ANLS,0.9394774599721373,0.8603546047184352,-0.0791228552537022,-0.08660837214293375,-0.07171851723321104,89,829,4431,0.7000000000000001
Qwen3-VL-8B,DocVQA,Grid,70%,5349,ANLS,0.9394774599721373,0.821770224120979,-0.11770723585115843,-0.12680237489918167,-0.10871620046398978,81,913,4355,0.7000000000000001
LLaVA-1.5-7B,TextVQA,Random,70%,5000,TextVQA accuracy,0.48472,0.44906,-0.035660000000000004,-0.043379999999999995,-0.0281,163,364,4473,0.7013888888888888
LLaVA-1.5-7B,TextVQA,Grid,70%,5000,TextVQA accuracy,0.48472,0.4381799999999999,-0.04654,-0.0544,-0.0388,142,397,4461,0.7013888888888888
LLaVA-1.5-7B,DocVQA,Random,70%,5349,ANLS,0.2157330920387295,0.18192927483450133,-0.033803817204228155,-0.040592273187374864,-0.027021094809490588,210,498,4641,0.701388888888889
LLaVA-1.5-7B,DocVQA,Grid,70%,5349,ANLS,0.2157330920387295,0.18933302740995261,-0.02640006462877688,-0.03269133483396193,-0.02000456116032375,208,413,4728,0.701388888888889
