model_key,model,condition,threshold,n,images,accuracy,positive_accuracy,hfpr,negative_accuracy,balanced_accuracy,auroc,yes_rate,mean_positive_minus_negative_margin,pairwise_positive_margin_win_rate,auroc_ci_low,auroc_ci_high,delta_accuracy_vs_matched,delta_accuracy_ci_low,delta_accuracy_ci_high
qwen,Qwen3-VL-8B,matched_image_full,0.0,1000,500,0.783,0.814,0.248,0.752,0.783,0.855632,0.531,4.961000002861023,0.924,0.8342485,0.87822215,,,
qwen,Qwen3-VL-8B,blank,0.0,1000,500,0.502,0.006,0.002,0.998,0.502,0.57404,0.004,0.17633332443237304,0.608,0.54787225,0.60096215,-0.281,-0.304,-0.258
qwen,Qwen3-VL-8B,image_mismatch_seed101,0.0,1000,500,0.504,0.014,0.006,0.994,0.504,0.414336,0.01,-0.3308334264755249,0.346,0.3923796,0.4340862,-0.279,-0.302,-0.256
qwen,Qwen3-VL-8B,image_mismatch_seed202,0.0,1000,500,0.502,0.022,0.018,0.982,0.502,0.385914,0.02,-0.4584167413711548,0.284,0.36547280000000004,0.40570045,-0.281,-0.305,-0.257
qwen,Qwen3-VL-8B,image_mismatch_seed303,0.0,1000,500,0.504,0.02,0.012,0.988,0.504,0.398074,0.016,-0.36066666889190674,0.324,0.37844574999999997,0.41762215,-0.279,-0.302,-0.256
llava,LLaVA-1.5-7B,matched_image_full,0.0,1000,500,0.625,0.566,0.316,0.6839999999999999,0.6249999999999999,0.665908,0.441,0.16835705947875976,0.768,0.6461441,0.6861855,,,
llava,LLaVA-1.5-7B,blank,0.0,1000,500,0.503,0.008,0.002,0.998,0.503,0.693418,0.005,0.0951697998046875,0.746,0.6683551999999999,0.72078205,-0.122,-0.143,-0.101
llava,LLaVA-1.5-7B,image_mismatch_seed101,0.0,1000,500,0.556,0.342,0.23,0.77,0.556,0.56729,0.286,0.06393669891357422,0.616,0.54630795,0.58740925,-0.069,-0.097,-0.042
llava,LLaVA-1.5-7B,image_mismatch_seed202,0.0,1000,500,0.555,0.338,0.228,0.772,0.555,0.561776,0.283,0.06106078147888184,0.614,0.5424119000000001,0.5816646499999999,-0.07,-0.096,-0.045
llava,LLaVA-1.5-7B,image_mismatch_seed303,0.0,1000,500,0.558,0.36,0.244,0.756,0.5579999999999999,0.575088,0.302,0.07311421966552735,0.626,0.5557476,0.5952598,-0.067,-0.093,-0.041
internvl,InternVL3.5-8B,matched_image_full,2.0425992012023926,536,268,0.6455223880597015,0.5970149253731343,0.30597014925373134,0.6940298507462687,0.6455223880597014,0.6868734684785031,0.45149253731343286,0.6086735333969344,0.7313432835820896,0.6528364474270439,0.7216595427712185,,,
internvl,InternVL3.5-8B,blank,2.0425992012023926,536,268,0.6175373134328358,0.8171641791044776,0.582089552238806,0.417910447761194,0.6175373134328357,0.676257239919804,0.6996268656716418,0.1912768812321905,0.7014925373134329,0.6430992774003119,0.7088732526732012,-0.027985074626865673,-0.07276119402985075,0.016791044776119403
internvl,InternVL3.5-8B,image_mismatch_seed101,2.0425992012023926,536,268,0.5317164179104478,0.1455223880597015,0.08208955223880597,0.917910447761194,0.5317164179104478,0.5296697482735576,0.11380597014925373,0.08288175312440786,0.5485074626865671,0.5005412536199599,0.5604557668745823,-0.11380597014925373,-0.15485074626865672,-0.0708955223880597
internvl,InternVL3.5-8B,image_mismatch_seed202,2.0425992012023926,536,268,0.5149253731343284,0.1455223880597015,0.11567164179104478,0.8843283582089552,0.5149253731343283,0.5152873691245267,0.13059701492537312,0.025893958646859696,0.5186567164179104,0.48879030686121633,0.5405362413677879,-0.13059701492537312,-0.17164179104477612,-0.08955223880597014
internvl,InternVL3.5-8B,image_mismatch_seed303,2.0425992012023926,536,268,0.5279850746268657,0.16417910447761194,0.10820895522388059,0.8917910447761194,0.5279850746268657,0.5282356872354644,0.13619402985074627,0.05565518407679316,0.5410447761194029,0.5009871352194252,0.5561810815326353,-0.11753731343283583,-0.15671641791044777,-0.07649253731343283
