model_key,model,condition,threshold,n,images,accuracy,positive_accuracy,hfpr,negative_accuracy,balanced_accuracy,auroc,yes_rate,mean_positive_minus_negative_margin,pairwise_positive_margin_win_rate,auroc_ci_low,auroc_ci_high,delta_accuracy_vs_matched,delta_accuracy_ci_low,delta_accuracy_ci_high
qwen,Qwen3-VL-8B,matched_image_full,0.0,128,64,0.671875,0.765625,0.421875,0.578125,0.671875,0.812744140625,0.59375,4.24934895336628,0.90625,0.746087646484375,0.879156494140625,,,
qwen,Qwen3-VL-8B,blank,0.0,128,64,0.5,0.0,0.0,1.0,0.5,0.50537109375,0.0,0.03971352428197861,0.59375,0.4266265869140625,0.5841217041015625,-0.171875,-0.2421875,-0.1015625
qwen,Qwen3-VL-8B,image_mismatch_seed101,0.0,128,64,0.4921875,0.0,0.015625,0.984375,0.4921875,0.3814697265625,0.0078125,-0.6220707148313522,0.328125,0.3138275146484375,0.44031066894531246,-0.1796875,-0.25,-0.109375
qwen,Qwen3-VL-8B,image_mismatch_seed202,0.0,128,64,0.515625,0.046875,0.015625,0.984375,0.515625,0.3875732421875,0.03125,-0.4583332762122154,0.34375,0.3165191650390625,0.4512939453125,-0.15625,-0.2265625,-0.0859375
qwen,Qwen3-VL-8B,image_mismatch_seed303,0.0,128,64,0.484375,0.03125,0.0625,0.9375,0.484375,0.4052734375,0.046875,-0.5179036632180214,0.3125,0.3441009521484375,0.463018798828125,-0.1875,-0.2578125,-0.1171875
llava,LLaVA-1.5-7B,matched_image_full,0.0,128,64,0.609375,0.59375,0.375,0.625,0.609375,0.637451171875,0.484375,0.13417664170265198,0.6875,0.584466552734375,0.697998046875,,,
llava,LLaVA-1.5-7B,blank,0.0,128,64,0.5078125,0.015625,0.0,1.0,0.5078125,0.5953369140625,0.0078125,0.05091872811317444,0.6875,0.5166015625,0.6774932861328125,-0.1015625,-0.15625,-0.046875
llava,LLaVA-1.5-7B,image_mismatch_seed101,0.0,128,64,0.5390625,0.34375,0.265625,0.734375,0.5390625,0.57373046875,0.3046875,0.05421334505081177,0.625,0.5258728027343751,0.62939453125,-0.0703125,-0.140625,0.0
llava,LLaVA-1.5-7B,image_mismatch_seed202,0.0,128,64,0.515625,0.375,0.34375,0.65625,0.515625,0.537109375,0.359375,0.03130003809928894,0.546875,0.48411865234375,0.59130859375,-0.09375,-0.1640625,-0.0234375
llava,LLaVA-1.5-7B,image_mismatch_seed303,0.0,128,64,0.578125,0.390625,0.234375,0.765625,0.578125,0.5732421875,0.3125,0.063242107629776,0.640625,0.51611328125,0.636968994140625,-0.03125,-0.1015625,0.0390625
internvl,InternVL3.5-8B,matched_image_full,2.0425992012023926,66,33,0.7121212121212122,0.6666666666666666,0.24242424242424243,0.7575757575757576,0.712121212121212,0.7428833792470156,0.45454545454545453,0.6906980456727924,0.8181818181818182,0.6500918273645546,0.8365472910927456,,,
internvl,InternVL3.5-8B,blank,2.0425992012023926,66,33,0.5,0.8484848484848485,0.8484848484848485,0.1515151515151515,0.5,0.5720844811753902,0.8484848484848485,0.05597371766061494,0.5757575757575758,0.4655417814508724,0.6823002754820935,-0.21212121212121213,-0.3181818181818182,-0.10606060606060606
internvl,InternVL3.5-8B,image_mismatch_seed101,2.0425992012023926,66,33,0.4696969696969697,0.09090909090909091,0.15151515151515152,0.8484848484848485,0.46969696969696967,0.47474747474747475,0.12121212121212122,-0.09662151336669922,0.5454545454545454,0.38475665748393023,0.5656565656565656,-0.24242424242424243,-0.3484848484848485,-0.13636363636363635
internvl,InternVL3.5-8B,image_mismatch_seed202,2.0425992012023926,66,33,0.4393939393939394,0.12121212121212122,0.24242424242424243,0.7575757575757576,0.43939393939393934,0.4628099173553719,0.18181818181818182,-0.15124890298554391,0.45454545454545453,0.3774104683195592,0.5463728191000918,-0.2727272727272727,-0.4090909090909091,-0.13636363636363635
internvl,InternVL3.5-8B,image_mismatch_seed303,2.0425992012023926,66,33,0.5303030303030303,0.30303030303030304,0.24242424242424243,0.7575757575757576,0.5303030303030303,0.5399449035812672,0.2727272727272727,0.11497159437699751,0.5151515151515151,0.4563820018365473,0.6235307621671258,-0.18181818181818182,-0.2878787878787879,-0.09090909090909091
