model,method,scope,negative_n,false_positives,hFPR,hFPR_ci95_low,hFPR_ci95_high,delta_hFPR_vs_all,paired_probe_n,paired_accuracy,delta_accuracy_vs_all,AUROC,delta_AUROC_vs_all,PosECR,delta_PosECR_vs_all,AncECR,delta_AncECR_vs_all,NegSRC,delta_NegSRC_vs_all
Qwen3-VL-8B,Full,all_locked_negatives,500,124,0.248000,0.212164,0.287678,0.000000,1000,0.783000,0.000000,0.855632,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
Qwen3-VL-8B,Full,target_absence_confirmed,465,116,0.249462,0.212294,0.290736,0.001462,930,0.801075,0.018075,0.877278,0.021646,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
Qwen3-VL-8B,Full,strict_valid_near_miss,465,116,0.249462,0.212294,0.290736,0.001462,930,0.801075,0.018075,0.877278,0.021646,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
Qwen3-VL-8B,Target (30%),all_locked_negatives,500,120,0.240000,0.204638,0.279327,0.000000,1000,0.786000,0.000000,0.855498,0.000000,0.619955,0.000000,0.619955,0.000000,0.507518,0.000000
Qwen3-VL-8B,Target (30%),target_absence_confirmed,465,114,0.245161,0.208254,0.286245,0.005161,930,0.797849,0.011849,0.875477,0.019979,0.633780,0.013825,0.633780,0.013825,0.514357,0.006839
Qwen3-VL-8B,Target (30%),strict_valid_near_miss,465,114,0.245161,0.208254,0.286245,0.005161,930,0.797849,0.011849,0.875477,0.019979,0.633780,0.013825,0.633780,0.013825,0.514357,0.006839
Qwen3-VL-8B,Random (30%),all_locked_negatives,500,80,0.160000,0.130476,0.194708,0.000000,1000,0.739000,0.000000,0.775810,0.000000,0.270083,0.000000,0.270083,0.000000,0.299909,0.000000
Qwen3-VL-8B,Random (30%),target_absence_confirmed,465,75,0.161290,0.130658,0.197473,0.001290,930,0.751613,0.012613,0.792036,0.016226,0.269822,-0.000261,0.269822,-0.000261,0.297925,-0.001984
Qwen3-VL-8B,Random (30%),strict_valid_near_miss,465,75,0.161290,0.130658,0.197473,0.001290,930,0.751613,0.012613,0.792036,0.016226,0.269822,-0.000261,0.269822,-0.000261,0.297925,-0.001984
Qwen3-VL-8B,Grid (30%),all_locked_negatives,500,71,0.142000,0.114129,0.175330,0.000000,1000,0.723000,0.000000,0.755432,0.000000,0.317523,0.000000,0.317523,0.000000,0.317523,0.000000
