model,method,ratio,implementation,status,n,acc,hFPR,yes_rate,pos_acc,neg_acc,keep_ratio,ECR,AnchorECR,CenterR,PatchR,path,note
LLaVA-1.5-7B,ours_protected_embed,0.2,ours,done,1000,0.623,0.542,0.665,0.788,0.458,0.2013888888888889,1.0,1.0,1.0,1.0,runs/llava_textocr_hard/llava15_7b_textocr_hard_full1000_embed_protected_topk_0p20,same-budget evidence-protected comparator
LLaVA-1.5-7B,ours_protected_embed,0.3,ours,done,1000,0.627,0.44,0.567,0.694,0.56,0.3003472222222222,1.0,1.0,1.0,1.0,runs/llava_textocr_hard/llava15_7b_textocr_hard_full1000_embed_protected_topk_0p30,same-budget evidence-protected comparator
LLaVA-1.5-7B,ours_protected_embed,0.4,ours,done,1000,0.661,0.298,0.459,0.62,0.702,0.4010416666666667,1.0,1.0,1.0,1.0,runs/llava_textocr_hard/llava15_7b_textocr_hard_full1000_embed_protected_topk_0p40,same-budget evidence-protected comparator
LLaVA-1.5-7B,ours_protected_embed,0.5,ours,done,1000,0.667,0.308,0.475,0.642,0.692,0.5,1.0,1.0,1.0,1.0,runs/llava_textocr_hard/llava15_7b_textocr_hard_full1000_embed_protected_topk_0p50,same-budget evidence-protected comparator
LLaVA-1.5-7B,VisionZip,0.2,official-algorithm port,done,1000,0.554,0.78,0.834,0.888,0.22,0.2013888888888889,1.0,0.3356798141117605,1.0,1.0,runs/llava_textocr_hard/llava15_7b_textocr_hard_full1000_visionzip_0p20,CLS-attention dominant tokens plus contextual merge
LLaVA-1.5-7B,FastV,0.2,official-algorithm port,done,1000,0.5,0.0,0.0,0.0,1.0,0.2013888888888889,0.26965038558147664,0.26965038558147664,0.268,0.26158333333333333,runs/llava_textocr_hard/llava15_7b_textocr_hard_full1000_fastv_0p20,layer-attention pruning at K=3
LLaVA-1.5-7B,VisionZip,0.3,official-algorithm port,done,1000,0.555,0.734,0.789,0.844,0.266,0.3003472222222222,1.0,0.4660551992829738,1.0,1.0,runs/llava_textocr_hard/llava15_7b_textocr_hard_full1000_visionzip_0p30,CLS-attention dominant tokens plus contextual merge
LLaVA-1.5-7B,FastV,0.3,official-algorithm port,done,1000,0.5,0.0,0.0,0.0,1.0,0.3003472222222222,0.37598999955968115,0.37598999955968115,0.382,0.3690833333333333,runs/llava_textocr_hard/llava15_7b_textocr_hard_full1000_fastv_0p30,layer-attention pruning at K=3
LLaVA-1.5-7B,VisionZip,0.4,official-algorithm port,done,1000,0.58,0.65,0.73,0.81,0.35,0.4010416666666667,1.0,0.5746570857166635,1.0,1.0,runs/llava_textocr_hard/llava15_7b_textocr_hard_full1000_visionzip_0p40,CLS-attention dominant tokens plus contextual merge
LLaVA-1.5-7B,FastV,0.4,official-algorithm port,done,1000,0.5,0.0,0.0,0.0,1.0,0.4010416666666667,0.49384009586233474,0.49384009586233474,0.501,0.48491666666666666,runs/llava_textocr_hard/llava15_7b_textocr_hard_full1000_fastv_0p40,layer-attention pruning at K=3
LLaVA-1.5-7B,VisionZip,0.5,official-algorithm port,done,1000,0.542,0.834,0.876,0.918,0.166,0.5,1.0,0.6611153136320375,1.0,1.0,runs/llava_textocr_hard/llava15_7b_textocr_hard_full1000_visionzip_0p50,CLS-attention dominant tokens plus contextual merge
LLaVA-1.5-7B,FastV,0.5,official-algorithm port,done,1000,0.5,0.0,0.0,0.0,1.0,0.5,0.603776794362323,0.603776794362323,0.609,0.5935,runs/llava_textocr_hard/llava15_7b_textocr_hard_full1000_fastv_0p50,layer-attention pruning at K=3
InternVL3.5-8B,FastV/TopV-style proxy,0.5,protocol proxy,done,536,0.6175373134328358,0.2462686567164179,0.36380597014925375,0.48134328358208955,0.753731343283582,0.5,0.7915014376616023,0.7915014376616023,0.7966417910447762,0.5048947217790501,runs/internvl_textocr_hard/calibrated_test_embed0p50_devthr,"single-pass embedding salience top-k, calibrated test split"
InternVL3.5-8B,ours_soft_evidence,0.5,ours,done,536,0.6473880597014925,0.17537313432835822,0.32276119402985076,0.4701492537313433,0.8246268656716418,0.5,0.8926402053813055,0.8926402053813055,0.9272388059701493,0.6974363323243921,runs/internvl_textocr_hard/calibrated_test_target_soft_evidence0p50_b0p05_hfprconstr_devthr,"risk-constrained soft-evidence point, calibrated test split"
InternVL3.5-8B,VisionZip,,not claimed,unsupported,,,,,,,,,,,,,"Official VisionZip is CLIP-ViT CLS-attention plus contextual merge. Current InternVL-HF backend exposes tiled image features/placeholder tokens, not the same official CLS-attention path."
InternVL3.5-8B,FastV,,not claimed,not implemented,,,,,,,,,,,,,Official FastV is a LLaVA decoder-layer attention hook. InternVL backend has no method-specific FastV branch; existing InternVL rows remain proxies unless this is separately ported and validated.
