comparison,family,claim,left_model,left_method,right_model,right_method,n_overlap,n_left_only,n_right_only,n_negative,left_acc,right_acc,acc_diff,acc_diff_ci_low,acc_diff_ci_high,acc_sign_p,acc_left_better,acc_left_worse,left_hFPR,right_hFPR,hFPR_diff,hFPR_diff_ci_low,hFPR_diff_ci_high,hFPR_sign_p,hFPR_left_worse,hFPR_left_better,note
qwen_target0p20_vs_full,TextOCR-Hard,extreme-efficiency vs full,Qwen3-VL-8B,ours_target0p20,Qwen3-VL-8B,full,1000,0,0,500,0.793,0.787,0.006,-0.013,0.025,0.6137344676301637,52,46,0.224,0.236,-0.012,-0.04204999999999998,0.02,0.5189580031896701,27,33,
qwen_target0p20_vs_random,TextOCR-Hard,same-budget random,Qwen3-VL-8B,ours_target0p20,Qwen3-VL-8B,random0p20,1000,0,0,500,0.793,0.712,0.081,0.051,0.112,3.1648099306770354e-07,165,84,0.224,0.118,0.106,0.068,0.144,6.073393488182895e-08,75,22,
qwen_target0p20_vs_grid,TextOCR-Hard,same-budget spatial baseline,Qwen3-VL-8B,ours_target0p20,Qwen3-VL-8B,grid0p20,1000,0,0,500,0.793,0.7,0.093,0.062975,0.125,5.713732521329111e-09,174,81,0.224,0.108,0.116,0.08,0.152,1.4450157667487125e-10,72,14,
qwen_target0p20_vs_shuffled,TextOCR-Hard,same-score shuffled baseline,Qwen3-VL-8B,ours_target0p20,Qwen3-VL-8B,shuffled_score0p20,1000,0,0,500,0.793,0.718,0.075,0.046,0.106,1.7236030020743506e-06,159,84,0.224,0.122,0.102,0.064,0.138,7.245373680789788e-08,71,20,
qwen_target0p30_vs_full,TextOCR-Hard,quality point vs full,Qwen3-VL-8B,ours_target0p30,Qwen3-VL-8B,full,1000,0,0,500,0.798,0.787,0.011,-0.006,0.028,0.26042552589724044,45,34,0.222,0.236,-0.014,-0.042,0.014,0.39160291054749785,21,28,
qwen_target0p30_vs_fastv_proxy,TextOCR-Hard,proxy baseline,Qwen3-VL-8B,ours_target0p30,Qwen3-VL-8B,FastV/TopV-style proxy0p30,1000,0,0,500,0.798,0.757,0.041,0.02,0.063,0.0003871551339548432,85,44,0.222,0.182,0.04,0.01,0.07,0.011928139715763116,39,19,
qwen_target0p30_vs_visionzip_proxy,TextOCR-Hard,proxy baseline,Qwen3-VL-8B,ours_target0p30,Qwen3-VL-8B,VisionZip-style proxy0p30,1000,0,0,500,0.798,0.77,0.028,0.007,0.05,0.011849889910578454,72,44,0.222,0.236,-0.014,-0.044,0.018,0.449962536290224,28,35,
qwen_target0p30_vs_grid,TextOCR-Hard,same-budget spatial baseline,Qwen3-VL-8B,ours_target0p30,Qwen3-VL-8B,grid0p30,1000,0,0,500,0.798,0.711,0.087,0.059,0.116,3.904349520741485e-09,153,66,0.222,0.164,0.058,0.024,0.09204999999999927,0.0014660719473423484,54,25,
qwen_target0p30_vs_random,TextOCR-Hard,same-budget random,Qwen3-VL-8B,ours_target0p30,Qwen3-VL-8B,random0p30,1000,0,0,500,0.798,0.733,0.065,0.03797500000000001,0.092,2.606530153656906e-06,127,62,0.222,0.184,0.038,0.004,0.072,0.03953953287797829,48,29,
qwen_target0p30_vs_shuffled,TextOCR-Hard,same-score shuffled baseline,Qwen3-VL-8B,ours_target0p30,Qwen3-VL-8B,shuffled_score0p30,1000,0,0,500,0.798,0.739,0.059,0.032,0.086,2.6043492139057433e-05,126,67,0.222,0.158,0.064,0.03,0.098,0.0004515172719147991,56,24,
llava_protected0p40_vs_full,TextOCR-Hard,evidence-protected vs full,LLaVA-1.5-7B,ours_protected_embed0p40,LLaVA-1.5-7B,full,1000,0,0,500,0.661,0.626,0.035,0.004,0.066,0.03166258811143633,143,108,0.298,0.304,-0.006,-0.052,0.038,0.8603106786164455,63,66,
llava_protected0p40_vs_embed_proxy,TextOCR-Hard,proxy baseline,LLaVA-1.5-7B,ours_protected_embed0p40,LLaVA-1.5-7B,FastV/TopV-style proxy0p40,1000,0,0,500,0.661,0.662,-0.001,-0.018,0.016,0.9999999999999745,37,38,0.298,0.316,-0.018,-0.044,0.008,0.2110235976087982,16,25,
