group,run,acc,hFPR,keep,target_keep,ECR,CenterR,PatchR,lang_ms,selector,score_source,budget_mode
textocr_8b,qwen3_8b_textocr_hard_full1000_embed_rise_0p30,0.77,0.236,0.30055783152208077,0.3,0.2443615408452343,0.268,0.20504166666666665,94.42977909464389,embed_rise,embedding,fixed
textocr_8b,qwen3_8b_textocr_hard_full1000_embed_rise_0p50,0.777,0.244,0.5002502410738243,0.5,0.4582406640928341,0.501,0.40070833333333333,116.32404890563339,embed_rise,embedding,fixed
textocr_8b,qwen3_8b_textocr_hard_full1000_embed_topk_0p30,0.757,0.182,0.30055783152208077,0.3,0.38938598645706435,0.429,0.33566666666666667,107.28003889787942,embed_topk,embedding,fixed
textocr_8b,qwen3_8b_textocr_hard_full1000_embed_topk_0p50,0.778,0.214,0.5002502410738243,0.5,0.6170780114583688,0.668,0.5412916666666666,129.99619562458247,embed_topk,embedding,fixed
textocr_8b,qwen3_8b_textocr_hard_full1000_grid_0p50,0.759,0.196,0.5002502410738243,0.5,0.5174861604055508,0.534,0.5034166666666667,61.948345521464944,grid,evidence_oracle,fixed
textocr_8b,qwen3_8b_textocr_hard_full1000_random_0p50,0.764,0.212,0.5002502410738243,0.5,0.5083039066445953,0.513,0.515125,114.14793329685926,random,evidence_oracle,fixed
textocr_8b,qwen3_8b_textocr_hard_full1000_target_embed_protected_center_topk_0p30,0.788,0.236,0.30055783152208077,0.3,0.8234587679769269,1.0,0.6395,50.00210699997842,target_embed_protected_center_topk,target_embedding,fixed
textocr_8b,qwen3_8b_textocr_hard_full1000_target_embed_protected_topk_0p30,0.788,0.252,0.30055783152208077,0.3,1.0,1.0,1.0,49.84459036029875,target_embed_protected_topk,target_embedding,fixed
textocr_8b,qwen3_8b_textocr_hard_full1000_target_embed_protected_topk_0p30_core0p20,0.788,0.252,0.30055783152208077,0.3,1.0,1.0,1.0,50.12228701543063,target_embed_protected_topk,target_embedding,fixed
textocr_8b,qwen3_8b_textocr_hard_full1000_target_embed_soft_evidence_topk_0p30_b0p05,0.796,0.224,0.30055783152208077,0.3,0.6398435962204897,0.712,0.5248333333333334,49.79066895972937,target_embed_soft_evidence_topk,target_embedding,fixed
textocr_8b,qwen3_8b_textocr_hard_full1000_target_embed_soft_evidence_topk_0p30_b0p10,0.795,0.226,0.30055783152208077,0.3,0.674467435966798,0.755,0.5496666666666666,49.81449467781931,target_embed_soft_evidence_topk,target_embedding,fixed
textocr_8b,qwen3_8b_textocr_hard_full1000_target_embed_topk_0p20,0.793,0.224,0.2003393973951208,0.2,0.5237834272329409,0.593,0.4170416666666667,72.77071993611753,target_embed_topk,target_embedding,fixed
textocr_8b,qwen3_8b_textocr_hard_full1000_target_embed_topk_0p25,0.795,0.214,0.2505609851965648,0.25,0.5650035822390796,0.631,0.4613333333333333,78.73841998912394,target_embed_topk,target_embedding,fixed
textocr_8b,qwen3_8b_textocr_hard_full1000_target_embed_topk_0p30,0.798,0.218,0.30055783152208077,0.3,0.6040930388998629,0.669,0.4995,73.00609959289432,target_embed_topk,target_embedding,fixed
textocr_8b,qwen3_8b_textocr_hard_full1000_target_embed_topk_0p35,0.797,0.222,0.3504006459071088,0.35,0.6365171151875578,0.696,0.53375,98.40859814826399,target_embed_topk,target_embedding,fixed
textocr_8b,qwen3_8b_textocr_hard_full1000_target_embed_topk_0p40,0.789,0.236,0.4002522926009625,0.4,0.6747348547951374,0.736,0.5753333333333334,53.43534165341407,target_embed_topk,target_embedding,fixed
textocr_8b,qwen3_8b_textocr_hard_full1000_target_embed_topk_0p50,0.784,0.244,0.5002502410738243,0.5,0.7368345365932863,0.798,0.6489166666666666,85.02369768545032,target_embed_topk,target_embedding,fixed
textocr_8b,qwen3_8b_textocr_hard_full1000_target_embed_topk_entropy_adaptive_0p15_0p45,0.59,0.106,0.3094377243391529,0.3,0.290349236995087,0.29,0.291,31.022893940098584,target_embed_topk,target_embedding,risk_adaptive
textocr_8b,qwen3_8b_textocr_hard_full1000_target_embed_topk_entropy_adaptive_0p20_0p40,0.595,0.096,0.30937526455026454,0.3,0.2965410483844103,0.297,0.2975,30.630645910277963,target_embed_topk,target_embedding,risk_adaptive
textocr_8b,qwen3_8b_textocr_hard_full1000_target_embed_topk_entropy_adaptive_0p25_0p35,0.59,0.096,0.3091878519628519,0.3,0.2951257732605882,0.296,0.296,30.913145519793034,target_embed_topk,target_embedding,risk_adaptive
textocr_8b,qwen3_8b_textocr_hard_full1000_topk_1p00,0.787,0.236,1.0,1.0,1.0,1.0,1.0,233.75918539613485,topk,evidence_oracle,fixed
